step,time_sec,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
20,0.4,-0.0364997,0.00934767,1.04461,0.998883,-0.00856579,-0.0433989,0.0166007,0.00822211,0.00936908,-0.0178422,0.161877,-0.107189,-0.180647,-0.00266745,-0.0113633,0.134253,-0.134457,0.0135918,-0.125789,1.40558,-0.110376,1.17945,0.353233,-1.19755,-0.74144,0.993342
21,0.42,-0.0350847,0.00950969,1.04462,0.998877,-0.00874929,-0.043353,0.0169901,0.0086278,0.00979876,-0.0176272,0.164278,-0.110155,-0.184272,-0.00302304,-0.0108405,0.136245,-0.138209,0.0137699,-0.128458,1.42971,-0.11263,1.20037,0.358964,-1.21804,-0.754344,1.01092
22,0.44,-0.0332922,0.00965849,1.04457,0.998883,-0.00892684,-0.0430502,0.0173056,0.00909567,0.0102321,-0.0176912,0.166777,-0.112592,-0.187687,-0.00333047,-0.0106079,0.138274,-0.141281,0.0138096,-0.130508,1.45383,-0.114197,1.21995,0.365104,-1.23875,-0.766884,1.02744
23,0.46,-0.0311271,0.00980162,1.04457,0.998899,-0.00908148,-0.0425124,0.0176508,0.0094525,0.010614,-0.0175354,0.168687,-0.11513,-0.190763,-0.00361839,-0.0101736,0.139836,-0.1445,0.0139891,-0.132762,1.47375,-0.116068,1.23728,0.369755,-1.25571,-0.777578,1.04202
24,0.48,-0.0285417,0.00994147,1.0445,0.998926,-0.00923877,-0.0417126,0.0179255,0.00985302,0.0110077,-0.0176077,0.170689,-0.117212,-0.193658,-0.00385243,-0.00998786,0.141448,-0.14714,0.0140577,-0.13454,1.49384,-0.117359,1.25349,0.374782,-1.27301,-0.787962,1.05566
25,0.5,-0.025532,0.0100795,1.04448,0.998964,-0.00937875,-0.0406312,0.0182016,0.0101637,0.011357,-0.0175415,0.17217,-0.119395,-0.196274,-0.00405346,-0.00968568,0.142616,-0.149918,0.0141959,-0.13646,1.51025,-0.118911,1.26784,0.37854,-1.28705,-0.796823,1.06774
26,0.52,-0.0220395,0.0102147,1.04439,0.999013,-0.00952237,-0.0392685,0.0184309,0.010502,0.0117224,-0.0176719,0.17373,-0.121193,-0.198734,-0.00419918,-0.00958991,0.143837,-0.152215,0.0142888,-0.138025,1.52695,-0.11998,1.28124,0.382613,-1.30151,-0.805414,1.079
27,0.54,-0.0180489,0.0103585,1.04432,0.999074,-0.00966115,-0.0375754,0.0186101,0.0107691,0.0120558,-0.0177138,0.174838,-0.123079,-0.200966,-0.00429492,-0.00945344,0.144644,-0.154628,0.0143489,-0.139683,1.54045,-0.121267,1.29311,0.385629,-1.31314,-0.812754,1.08901
28,0.56,-0.013492,0.0105051,1.04418,0.999143,-0.00980835,-0.0355625,0.0187497,0.0110524,0.0124103,-0.0179313,0.176006,-0.124647,-0.203066,-0.00432933,-0.00950328,0.145494,-0.156646,0.0143999,-0.141089,1.55428,-0.122157,1.30418,0.38889,-1.3252,-0.819855,1.09829
29,0.58,-0.00833577,0.0106621,1.04405,0.999223,-0.00995534,-0.0331736,0.0188217,0.011277,0.0127412,-0.0180916,0.176797,-0.126278,-0.204979,-0.0043096,-0.00954493,0.145975,-0.15876,0.014395,-0.142543,1.56537,-0.123222,1.31399,0.391277,-1.33487,-0.825932,1.10658
30,0.6,-0.0025065,0.0108279,1.04383,0.999309,-0.0101171,-0.0303985,0.0188491,0.0115105,0.0130991,-0.0184303,0.177609,-0.127657,-0.206782,-0.00421384,-0.00978587,0.146471,-0.160551,0.0143963,-0.143832,1.57679,-0.123966,1.32311,0.393836,-1.34493,-0.831796,1.11423
31,0.62,0.00405641,0.0110066,1.04357,0.9994,-0.0102815,-0.0272105,0.0188029,0.0116925,0.0134396,-0.0187004,0.17814,-0.129071,-0.20843,-0.00407432,-0.0100088,0.146678,-0.162405,0.0143525,-0.145134,1.58593,-0.124842,1.3312,0.395686,-1.35304,-0.836828,1.12106
32,0.64,0.0114232,0.0112022,1.04321,0.999494,-0.0104743,-0.023522,0.018681,0.0118736,0.013819,-0.019212,0.178629,-0.130279,-0.209994,-0.00381821,-0.0105074,0.146815,-0.164013,0.0143057,-0.146321,1.59533,-0.125465,1.33871,0.397657,-1.36149,-0.841667,1.12735
33,0.66,0.0196806,0.0113986,1.04277,0.999585,-0.010668,-0.0193177,0.0185376,0.0120154,0.0142006,-0.0197353,0.178814,-0.131545,-0.211444,-0.00349235,-0.011034,0.146668,-0.165691,0.0143336,-0.147508,1.6027,-0.126204,1.34537,0.398978,-1.3682,-0.845815,1.133
34,0.68,0.0289299,0.0116101,1.04217,0.999667,-0.0108917,-0.0145747,0.0182844,0.0121614,0.0146234,-0.0204,0.179039,-0.132597,-0.212812,-0.0030725,-0.0117644,0.146521,-0.167119,0.0143238,-0.148671,1.61039,-0.126728,1.35154,0.400368,-1.37529,-0.8498,1.13815
