step,time_sec,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18
24,0.48,0.000253267,0.00339818,-0.000553392,-0.000186409,-2.90244e-06,-0.000252697,-0.00337246,-0.000553696,-0.000187351,-2.92677e-06,-5.72115e-06,0.000116325,-1.86359e-06,4.13682e-07,3.87644e-05,0.0001247,-1.7907e-06,-2.15486e-06,3.93671e-05
25,0.5,7.67942e-05,0.00171907,-0.000580367,-0.000194251,7.67192e-09,-7.77981e-05,-0.00169221,-0.000571842,-0.000191948,2.44311e-07,-3.36755e-06,0.000116731,-1.34964e-06,6.11432e-07,3.66446e-05,0.000123681,-1.76811e-06,-2.07713e-06,3.71379e-05
26,0.52,-2.79612e-05,0.000718956,-0.000594631,-0.000198184,1.76333e-06,2.59826e-05,-0.000691888,-0.000580972,-0.000194007,2.14853e-06,-1.99152e-06,0.000117692,-1.1426e-06,7.01848e-07,3.59153e-05,0.000123843,-1.66364e-06,-2.00528e-06,3.63616e-05
27,0.54,-9.06042e-05,0.000118441,-0.000602502,-0.000200277,2.79877e-06,8.8025e-05,-9.13081e-05,-0.000585797,-0.000194994,3.27046e-06,-1.21178e-06,0.000119125,-1.05094e-06,7.52149e-07,3.60653e-05,0.000124842,-1.57643e-06,-1.96418e-06,3.64916e-05
28,0.56,-0.000128735,-0.00024923,-0.00060699,-0.000201442,3.40235e-06,0.000125777,0.000276455,-0.000588412,-0.000195486,3.92575e-06,-7.81593e-07,0.000120859,-1.01335e-06,7.83319e-07,3.67443e-05,0.000126353,-1.51201e-06,-1.94596e-06,3.7163e-05
29,0.58,-0.000152994,-0.000485067,-0.000609664,-0.000202123,3.75906e-06,0.000149785,0.000512438,-0.000589862,-0.000195733,4.31534e-06,-5.49158e-07,0.000122774,-1.00436e-06,8.04765e-07,3.77288e-05,0.000128162,-1.46177e-06,-1.94137e-06,3.81463e-05
30,0.6,-0.000170094,-0.000652844,-0.000611429,-0.000202566,3.98827e-06,0.000166698,0.000680395,-0.000590737,-0.000195864,4.56764e-06,-4.19526e-07,0.000124787,-1.00977e-06,8.2094e-07,3.88743e-05,0.00013013,-1.41981e-06,-1.94439e-06,3.92935e-05
31,0.62,-0.00018472,-0.000797114,-0.000612877,-0.000202926,4.17548e-06,0.000181163,0.00082486,-0.000591421,-0.000195958,4.77417e-06,-3.28452e-07,0.00012684,-1.02028e-06,8.35398e-07,4.00789e-05,0.000132161,-1.38096e-06,-1.95015e-06,4.05008e-05
32,0.64,0.0123675,0.00659852,0.00898356,0.00145766,-0.00306942,-0.00766549,-0.0059959,-0.0137197,-0.00796377,-0.00180851,-0.00531621,-0.0419003,-0.00222471,-0.00208163,-0.0133275,-0.0390592,0.00219055,0.00169691,-0.0132683
33,0.66,0.00169889,-0.0029526,0.00564554,0.00234607,0.00025729,0.00292781,-0.00940638,-0.00985999,-0.00226094,-0.00314983,-0.00683547,-0.0083714,-0.00106278,-0.000790819,-0.00177759,-0.0045587,0.000710746,0.000206772,-0.00171013
34,0.68,0.000611878,0.00543145,0.000980754,0.000993816,0.000379742,0.00122203,-0.00155665,-0.0142248,-0.0165997,0.00816213,0.00129966,-0.00139373,-0.000562419,-0.000107196,-0.000270387,-0.00240963,-0.000113076,0.000123637,-0.000216698
35,0.7,0.0331204,0.140033,-0.142779,-0.110526,-0.0606358,-0.0916924,-0.0599428,-0.0536425,-0.0910892,-0.092258,0.0626391,-0.216341,-0.0119652,-0.00858658,-0.0734134,-0.253527,0.0145826,0.0137626,-0.0747027
36,0.72,0.00709742,-0.0683426,0.000458394,-0.0199001,-0.0310368,0.0330199,-0.0121991,-0.168562,-0.189507,-0.184097,-0.0300458,0.0580915,0.00694446,0.00248418,0.02106,0.073062,0.00353131,-0.00282756,0.0196193
