6.430000000000000169e-04,-1.189999999999999652e-04,-1.282999999999923091e-03,-2.127213683905448960e-03,-4.799768112970920209e-05,3.289930087142130255e-04,6.323929229607616609e-03,1.072500000000001230e-02,-2.094999999999999640e-03,-3.501000000000004109e-03,5.946999999999980080e-03,-1.715899999999997982e-02,-9.262000000000001135e-03,2.939999999999956537e-04,-4.350999999999993761e-03,7.970000000000032614e-03,-2.843400000000001482e-02,-1.045699999999999928e-02,9.578900000000001302e-02,-1.763149999999999995e-01,2.139510000000001133e-01,-3.119999999999999996e-01,8.346900000000000153e-02,1.593680000000001762e-01,-2.331230000000000802e-01,-2.569790000000000685e-01
6.130000000000000466e-04,-2.969999999999999550e-04,-5.299999999999194245e-04,-1.623014495703900550e-03,-6.299983963107061435e-05,3.519995097286260366e-04,4.721994964140885376e-03,-5.016999999999993687e-03,5.850000000000021849e-04,-1.519000000000020334e-03,2.381000000000021988e-03,-4.410999999999998256e-03,-8.545000000000000512e-03,7.910000000000000364e-04,-7.959999999999911591e-04,1.829999999999998295e-03,-7.278999999999979931e-03,-6.732000000000000137e-03,3.593600000000002348e-02,-6.503499999999995396e-02,5.473499999999997812e-02,-1.139280000000000015e-01,3.346999999999999975e-02,6.553599999999981662e-02,-7.548699999999997079e-02,-1.005689999999999640e-01
5.919999999999999698e-04,-3.250000000000000935e-04,-1.889999999999947278e-04,-1.344167392381856452e-03,-1.399815132460333067e-05,3.459943047952260264e-04,3.848941565439412127e-03,-6.776000000000004242e-03,6.969999999999962337e-04,-1.250000000000001110e-03,1.274999999999970601e-03,-8.839999999999959002e-04,-7.122999999999999124e-03,7.199999999999984190e-04,1.700000000000034817e-04,1.079999999999969873e-04,-1.844000000000012296e-03,-4.824000000000000163e-03,1.119099999999995099e-02,-2.049999999999996270e-02,1.251299999999999635e-02,-3.587499999999999023e-02,1.323499999999999677e-02,2.391400000000010184e-02,-2.266800000000002147e-02,-3.422800000000003617e-02
6.029999999999998035e-04,-2.789999999999999512e-04,-7.200000000007200640e-05,-1.132936270660800382e-03,4.399929219646263323e-05,3.600021107065670689e-04,3.200021720349777166e-03,-6.025000000000002576e-03,4.470000000000029505e-04,-1.099999999999989875e-03,8.350000000000301625e-04,-7.800000000002249578e-05,-5.877000000000000279e-03,5.070000000000005058e-04,4.569999999999851958e-04,-4.190000000000027036e-04,-6.329999999999946780e-04,-3.588000000000000043e-03,3.499000000000029864e-03,-6.152999999999964054e-03,3.630999999999939831e-03,-1.074200000000000155e-02,5.897000000000013342e-03,9.290000000000020464e-03,-8.016000000000023107e-03,-1.157499999999994644e-02
6.120000000000001307e-04,-2.219999999999999751e-04,-2.799999999991698019e-05,-9.746846379129481264e-04,7.199654128273169640e-05,3.620109233989851627e-04,2.721111699724609867e-03,-5.122000000000015429e-03,2.689999999999984071e-04,-9.429999999999993943e-04,5.629999999999801830e-04,1.260000000000149889e-04,-4.918999999999999762e-03,3.550000000000011480e-04,6.099999999999994316e-04,-7.070000000000131735e-04,-2.980000000000204707e-04,-2.664999999999999834e-03,1.215999999999994863e-03,-1.698000000000088328e-03,1.894999999999980034e-03,-2.884999999999998677e-03,2.856999999999998430e-03,4.139999999999921521e-03,-3.814999999999901803e-03,-4.436000000000051013e-03
6.139999999999999625e-04,-1.670000000000000477e-04,-6.000000000172533987e-06,-8.710562287503886836e-04,7.800062480087764649e-05,3.329980937306006861e-04,2.409980391167909630e-03,-4.415000000000002256e-03,1.919999999999977280e-04,-7.280000000000064198e-04,3.009999999999957154e-04,2.159999999999939746e-04,-4.406000000000000194e-03,2.870000000000025309e-04,8.299999999999974065e-04,-1.016000000000016890e-03,-1.180000000000069882e-04,-1.898999999999999647e-03,6.459999999999799236e-04,-1.709999999999212150e-04,1.554000000000055337e-03,-4.879999999999884430e-04,1.424000000000008592e-03,2.172000000000062769e-03,-2.411000000000051990e-03,-2.305999999999974737e-03
6.090000000000001662e-04,-1.169999999999999166e-04,4.000000000115022658e-06,-7.842138095541795195e-04,8.000231753130596091e-05,2.919924474293483785e-04,2.153923158236981106e-03,-3.835999999999978316e-03,1.640000000000044200e-04,-5.349999999999799360e-04,1.410000000000022347e-04,2.590000000000092228e-04,-4.064000000000001639e-03,2.549999999999982836e-04,9.570000000000133955e-04,-1.123999999999958366e-03,-6.400000000000849454e-05,-1.281000000000000888e-03,4.939999999999944436e-04,4.520000000000079510e-04,1.301999999999914337e-03,2.169999999999949747e-04,5.769999999999941842e-04,1.412999999999997591e-03,-1.731999999999955797e-03,-1.583999999999974317e-03
5.979999999999995736e-04,-7.300000000000014810e-05,0.000000000000000000e+00,-7.140841537031095143e-04,8.400089472032634674e-05,2.459969617269047726e-04,1.949969230777448548e-03,-3.374000000000015875e-03,1.439999999999982960e-04,-3.760000000000152109e-04,5.399999999999849365e-05,2.429999999999932214e-04,-3.640000000000000874e-03,2.160000000000009135e-04,9.139999999999981473e-04,-8.690000000000086544e-04,-1.669999999999727258e-04,-7.980000000000000981e-04,4.890000000000171987e-04,7.299999999998973976e-04,1.006999999999980133e-03,2.939999999999887148e-04,-1.300000000001300116e-05,1.102999999999965119e-03,-1.163000000000025125e-03,-1.310000000000033360e-03
5.790000000000005212e-04,-3.499999999999987496e-05,-1.199999999990097876e-05,-6.575046618769730955e-04,9.799472626319076507e-05,1.920178197528654707e-04,1.788180687372853406e-03,-3.039999999999987157e-03,1.190000000000010494e-04,-2.179999999999959748e-04,4.000000000004000356e-06,1.849999999999907274e-04,-3.127999999999998837e-03,1.550000000000023581e-04,7.689999999999919122e-04,-3.580000000000249649e-04,-4.060000000000174580e-04,-4.169999999999989687e-04,6.550000000000166800e-04,8.350000000000301625e-04,6.099999999999994316e-04,-3.400000000000624745e-05,-4.389999999999949498e-04,9.249999999999536371e-04,-3.929999999999767013e-04,-1.199000000000005617e-03
5.500000000000001416e-04,2.999999999999964501e-06,-2.800000000013902479e-05,-5.997123642066393145e-04,9.000752703450937142e-05,1.039742665626466889e-04,1.628738875812663078e-03,-2.796999999999993936e-03,1.679999999999980120e-04,-1.200000000001200107e-05,-3.799999999998249223e-05,1.260000000000149889e-04,-2.752999999999998504e-03,1.530000000000003579e-04,5.930000000000101856e-04,2.630000000000132232e-04,-6.929999999999991722e-04,-8.999999999999980238e-05,9.460000000000023945e-04,8.480000000000709193e-04,2.550000000001162448e-04,-5.759999999999931841e-04,-8.229999999999904059e-04,7.350000000000411760e-04,6.959999999999189058e-04,-1.205999999999984862e-03
